,dataset,MAE 0,MAE 15,MAE 30,MAE 60,MAE 90,MAE 120,MAE all,MAPE 0,MAPE 15,MAPE 30,MAPE 60,MAPE 90,MAPE 120,MAPE all,Mean 0,Mean 15,Mean 30,Mean 60,Mean 90,Mean 120,Mean all,RMSE 0,RMSE 15,RMSE 30,RMSE 60,RMSE 90,RMSE 120,RMSE all,Sample 0,Sample 15,Sample 30,Sample 60,Sample 90,Sample 120,Sample all,StDev 0,StDev 15,StDev 30,StDev 60,StDev 90,StDev 120,StDev all
0,EBBR,300.2370575327933,118.07116592762083,167.32327686656603,233.86373069069606,278.2068340594952,,207.32586392802605,0.04956620100684426,0.1266760715314856,0.09199551408933529,0.06460230885967508,0.051361902913047146,,0.12948595941673594,-53.00124782986154,17.045098238213082,30.957274003462462,82.34913773970186,62.335277068309296,,74.95522945672393,405.1589367866838,174.71268426577976,264.1152227793409,350.6738825390937,408.70169106612076,,339.3040048736012,81.0,86.0,88.0,88.0,78.0,,16977.0,404.17995952783957,174.89905840289768,263.7978116369123,342.8211162495672,406.5344200379988,,330.93106851522873
1,EDDB,336.7449877635543,165.39372815583883,185.88676489853276,223.2989929991883,264.4987731160997,295.6179431733631,238.2671385273988,0.03874106787917615,0.17918734613491594,0.10227660389366856,0.0617853849853245,0.04882904038888435,0.04094289127735732,0.09036041971509802,27.74858810240919,-51.77307128906255,18.07915962033166,99.03265143060078,7.530295070213608,-2.710600353423182,48.2056339805767,448.3600561286764,350.9565373915764,286.520822447321,332.48063421443373,363.43280688117244,381.70468950679606,355.73688595804526,83.0,76.0,82.0,77.0,79.0,84.0,22234.0,450.2209583620555,349.42320200135305,287.7095737717046,319.4704658128124,365.6765644265183,383.9875484540773,352.4635247744971
2,EDDF,312.8406056833791,92.20046628176512,137.84410413804946,196.5100787618886,263.8228918987772,692.701293945312,190.1246243989327,0.04633147881376642,0.10102498013690588,0.07598150856523106,0.05431554492433993,0.048737720434458294,0.09603532315005321,0.11706900372526034,3.3507361778841855,32.225159362122206,0.9127639938188038,11.774079695991986,-39.91250212296195,594.7191975911452,21.08829620054883,394.612259907146,118.44861517069748,184.84693946555177,310.8847485944282,332.2749455274618,715.9204894738008,279.5422228476696,91.0,91.0,91.0,92.0,92.0,12.0,19951.0,396.78418916590886,114.61223670052304,185.86876398094074,312.3639785191758,331.6766283490051,416.2838497488997,278.7526373177734
3,EDDH,292.40532326211746,88.03399912516277,158.94542968749997,144.66560363769526,190.58109714673913,236.5091044108075,164.49997268748655,0.03645221679889041,0.09498450055676454,0.08766528731755875,0.04001735533158886,0.03520599781457071,0.03277897232963675,0.10159526711621163,-169.74355269451564,7.037979125976513,-73.04637207031237,-62.20010884602849,-93.4375636888587,-106.83543904622462,-62.09797057365947,349.5950932788055,114.46432599258485,257.4588353091321,199.66079195793256,231.4279182147993,296.2670440673962,221.58900761523535,49.0,48.0,50.0,48.0,46.0,48.0,12553.0,308.7875794471482,115.45675631368366,249.3855293538957,191.73273500630637,214.06654930816933,279.2580145132005,212.71844065250562
4,EDDL,376.12045898437515,125.49206141421669,216.331676929028,231.13505358573718,283.3592544367284,566.7389787946425,232.096000056007,0.05573535324722093,0.13732727435456427,0.11922387414657773,0.06395124605548523,0.052295956499687817,0.07855156145918281,0.1128814628271004,-67.8489257812505,28.080440320466646,53.0690228350752,64.33591245993603,-14.097330729166666,550.8881138392851,63.19421517763054,500.81390181625784,274.4517954948535,364.21831229520944,338.24587816056703,391.35898792433153,695.3028521230364,371.7280540463583,80.0,76.0,77.0,78.0,81.0,14.0,17345.0,499.3272309491507,274.825545781406,362.6941703680319,334.22037266675255,393.5418170019076,440.24091226494573,366.3276869158309
5,EDDM,299.0871744791667,88.47332146462428,134.42817739422404,185.4424262152778,233.26732843572444,358.4151646205353,183.0144231584535,0.0421059986924559,0.09639239611640377,0.07415031722750189,0.0513202188439964,0.043086993026234366,0.049681131875966913,0.08723363111544898,87.92583550347173,61.78055461069167,67.70847826325503,103.95546875000015,62.85729425603693,317.90291573660653,87.63748485353082,362.40109271084793,110.89884727829622,180.9450796177225,242.6397742822631,288.0918649987108,399.58587649123666,244.9485534673783,90.0,89.0,89.0,90.0,88.0,35.0,20399.0,353.54264797507017,92.6180357809372,168.75024777804384,220.47086618061633,282.76219090923104,245.62233743566244,228.7400927372234
6,EDDP,355.89701822916686,104.06205460831926,138.9507989752782,176.2210165487753,274.91212312940144,320.4753491950758,214.6230452641238,0.04558319283820154,0.1140648044989478,0.07664279953318621,0.048715776133286676,0.05077904988264587,0.04441863041152554,0.09195253538642087,-106.12059895833372,18.885580526815826,-4.722280005886009,21.516367319468067,-46.929783780809856,-62.59163411458397,5.385588604182137,475.2645112271359,134.27116041678033,234.4599689163941,331.69893166543187,437.5273418934023,474.4339440554912,385.52379145924965,75.0,74.0,73.0,74.0,71.0,66.0,18948.0,466.3850059326633,133.84379943368813,236.0346587072378,333.259757447855,438.0993313850194,473.8907761908595,385.49634515141645
7,EGCC,293.0345651726973,145.72261171083193,252.22361816406257,272.0630030776515,266.4958239103618,,244.80553131412225,0.04338442504230062,0.15942495264284912,0.13929718252729098,0.07510117284488642,0.049197212774104215,,0.2270819047356807,14.52372018914421,-23.194634514886037,128.1148486328126,114.77695904356075,100.98893657483552,,93.42399415300675,385.4765012501368,174.68431254507226,281.2726689351383,318.3727588997964,327.3758525824542,,310.70898910524903,38.0,37.0,25.0,33.0,38.0,,7051.0,390.37353537836515,175.52578674319383,255.56493762530184,301.5681042646069,315.5901796272861,,296.3519678268641
8,EGKK,266.2365556196732,130.56209527878534,235.7894666517103,209.1434811511672,270.21697215544873,,208.19523162605304,0.0446574704180615,0.14301158476357484,0.12960782100914817,0.05762027585285553,0.04989282685678741,,0.1266836592273789,7.903758655894566,-18.380643572126154,139.9178120381125,67.3930869964233,98.57404346955128,,68.80791430644689,346.8740114432618,156.80606009363703,305.82451375237173,280.3388150570871,353.62163124489894,,287.8437766169118,88.0,84.0,37.0,83.0,78.0,,13258.0,348.7712703754368,156.6603479564719,275.6915872550065,273.77188994503916,341.80290612612873,,279.50921874758444
9,EGLL,260.81968706109546,149.86942006306475,327.3620182917669,224.32762536337214,228.8510604643486,,209.03207064785346,0.047816870525176816,0.16370946845120055,0.17995114326474773,0.06175145325065062,0.042263206014479686,,0.12509829757529975,-29.280010094803625,-12.32056987716496,111.79133958082949,20.08448401162806,82.07539475132042,,41.306421091940415,333.95454350972005,178.78067534569138,469.8859540957067,282.24159521684425,290.9955269916076,,290.3082445885265,89.0,83.0,26.0,86.0,71.0,,12058.0,334.55330317297376,179.43987630557623,465.4324080908017,283.1772696768303,281.1680704208586,,287.36649939904515
