,dataset,MAE 0,MAE 15,MAE 30,MAE 60,MAE 90,MAE 120,MAE all,MAPE 0,MAPE 15,MAPE 30,MAPE 60,MAPE 90,MAPE 120,MAPE all,Mean 0,Mean 15,Mean 30,Mean 60,Mean 90,Mean 120,Mean all,RMSE 0,RMSE 15,RMSE 30,RMSE 60,RMSE 90,RMSE 120,RMSE all,Sample 0,Sample 15,Sample 30,Sample 60,Sample 90,Sample 120,Sample all,StDev 0,StDev 15,StDev 30,StDev 60,StDev 90,StDev 120,StDev all
0,EBBR,377.575764016544,129.7966333433639,202.51330566406253,293.5407321506077,374.5897343076509,1005.4538225446422,272.6683857901905,0.05691115201236262,0.13974182329433568,0.11124297646973848,0.08118200458135028,0.06916281349393802,0.13928320221117388,0.15982633543971608,83.60087890624956,44.69761018974833,112.29785019092357,190.43658718533,175.79835948724858,1005.4538225446422,166.87704082635238,504.6870002125558,183.72143004551648,298.51976945756047,407.92483521519506,499.8104680698083,1100.4927468407473,410.43303649143775,85.0,86.0,89.0,90.0,87.0,7.0,18646.0,500.66846035742105,179.24643322766437,278.15930806486153,362.765469941535,470.58564884195727,483.22325345127666,374.98649572681427
1,EDDB,501.8370651971726,186.3638432490361,209.27567942549544,270.8729561047677,339.5906714462652,383.4480619884672,304.3230085947807,0.05548044344585155,0.2020658821629986,0.11518491171487895,0.07490998328971234,0.06269664684804088,0.053102391035028576,0.12437123397425569,-27.856991722470628,-84.95300847833812,31.460562357088516,114.20017340244405,33.16059093940549,-13.069399879092824,46.82320273750607,636.7912528998559,353.832897448096,294.52805741950834,360.2080465230133,438.55470961030494,494.112299276954,426.630136079995,84.0,77.0,82.0,78.0,82.0,84.0,23882.0,640.0025919910161,345.73556856814554,294.64510540199905,343.8369490437237,439.99031834822716,496.9060543317552,424.0617768303488
2,EDDF,376.5806844522665,100.54509123079069,142.27440742824388,211.76885986328125,297.05414727393617,384.15916649070914,214.59392565972746,0.05258078266036839,0.11026106255684141,0.07841694669965481,0.05856940968294549,0.05488509836326342,0.0532514412329193,0.13433924685066287,29.641617659683526,-9.885198572179817,21.060269563094554,23.842001210088455,-30.30578873005319,310.2356814822629,26.13528023426788,475.4356624336003,122.14666898062673,181.31792632284555,307.5785382326995,381.69190134336634,480.82275704445175,303.75891130947883,91.0,91.0,92.0,92.0,94.0,37.0,21542.0,477.1396297972325,122.42051094008693,181.07749241446572,308.3333911101825,382.52703990070194,372.41482203620734,302.63951336977993
3,EDDH,343.99591796875006,110.87816510881696,168.61427734375005,193.0059141820791,251.72918701171875,283.63175621811223,211.11260788334977,0.04037963664395222,0.11966795424038013,0.09295931760202525,0.05337951810042858,0.046477687129119226,0.03931117182970339,0.12419068949862416,-112.86880859375033,-2.3999409578284925,3.6211718750001274,34.38957370057414,40.158671061197914,-19.93795838648024,18.48602574259273,432.35989188949156,136.69782229935657,242.30846216285076,235.1787936437656,307.6714384573828,352.40599727477445,277.8069373756182,50.0,49.0,50.0,49.0,48.0,49.0,13530.0,421.60493665704627,138.0931305869404,244.74117513426174,235.0618131391655,308.2673531789398,355.48765718727134,277.20144405278296
4,EDDL,395.76650390624997,160.8738493308043,239.7906854091547,266.0140474759616,333.7032485773534,374.82777471127685,280.6462635664244,0.054183883290021384,0.17641510382173559,0.13220107922959173,0.07361266613688035,0.061589624585804435,0.051960192374569246,0.1395652639263019,-38.034777832031786,-6.445165780874445,108.83667148687913,149.24847255608987,130.62412290219908,310.0397100033963,130.48513723126192,556.3850536116717,347.37485433798685,375.62466313074685,360.096159316671,423.54011635807075,514.7269552667877,429.21409207753527,80.0,78.0,78.0,78.0,81.0,46.0,18705.0,558.5856312153345,349.56307501034127,361.83838658249624,329.8315728540251,405.4042590910304,415.416363240664,408.90989835982015
5,EDDM,364.2012695312499,94.50340053013393,155.95969210849722,240.4236993475275,284.42760675603694,387.44419417842727,232.65322543797203,0.048474771137756986,0.1029982613012431,0.08603577444956391,0.06652565643386302,0.05253443657628651,0.05371387218547507,0.10176122956727966,42.93135850694395,35.335831526871516,84.94103592433298,131.90905627575563,93.65787575461648,173.99185672883004,100.98519984094672,439.6385149153889,115.23459895455632,201.55376925949847,296.57620512882477,352.04281990345595,454.33196331747524,306.9407796653483,90.0,91.0,89.0,91.0,88.0,62.0,21955.0,439.9885468738972,110.2908102545015,183.81672772252531,267.0981429116342,341.3005340161463,423.12170737573314,289.859377083338
6,EDDP,456.6758626302084,94.50658643567884,141.55828188543447,211.52878055057008,314.19677065496575,405.7758926606515,259.5372602256993,0.055630785295628066,0.10371978988344568,0.07808659169329256,0.058495724364970664,0.058044682816804166,0.05623885231786405,0.11603411908740235,-95.21431315104196,11.748980135530987,14.19579994515209,27.52878714896553,-37.480027290239725,-62.901360310299914,18.81794550002308,605.7691464813992,135.11808910667295,247.3093262738193,370.0465762951044,488.9854210847691,574.4435096150455,452.9402466439778,75.0,74.0,73.0,74.0,73.0,71.0,20204.0,602.2680893247598,135.525137978133,248.61024536390056,371.5401295354655,490.92097745953396,575.0533178672279,452.560370671843
7,EGCC,294.396420127467,212.06658774928042,275.8562316894532,301.5171616498162,259.58358604029604,307.4039713541663,263.54375495213594,0.040578560959332356,0.23148978552468494,0.15228684712533389,0.08325830221796211,0.04793797808379705,0.04260370706882581,0.24204098987387898,93.20506527549283,24.592312461451428,183.41419982910168,181.48433191636045,116.722900390625,225.84857855902717,120.70027005309693,379.0804863659242,243.7763191677773,309.3392383854905,356.2746832823339,328.12585746896895,388.35147432895656,331.1439933007055,38.0,38.0,32.0,34.0,38.0,18.0,8002.0,372.37599336633286,245.78832104959187,253.0841924551477,311.1967596120922,310.7797094509559,325.0852529970037,308.3823496835133
8,EGKK,381.5600974343038,155.89569369229403,247.1651339017428,228.94238568474273,272.98711266678373,,234.93652407623566,0.057419715596066886,0.1705511509886444,0.13598459225722506,0.06309460136028822,0.0504061865097155,,0.14283062496762514,310.096285733309,53.2625579833984,176.2626399113583,130.03476849724277,101.10172160287921,,129.84314645729458,534.9287013849166,187.596083259679,318.73538436096544,302.38222483910175,362.84599565057056,,328.33361298792914,88.0,88.0,65.0,85.0,89.0,,15750.0,438.3751713475677,180.90685838350547,267.6297073380007,274.6146077610544,350.4505801290337,,301.57833693218146
9,EGLL,370.29816565352866,170.03636446866122,292.2365220013788,209.33537789676976,254.0594861260776,,225.65675763845047,0.05957810453229199,0.18563113748006,0.16090158151498443,0.05760462344574476,0.046916957671260896,,0.1438017545157241,237.14291416125306,53.38738874955606,174.6423124425553,62.768269399578806,59.28610475035919,,94.46131587081707,467.8966713342105,194.8871022195728,388.4949333914218,267.47141390879364,324.046323724765,,306.47687821670155,89.0,88.0,51.0,89.0,87.0,,14647.0,405.6344282344257,188.50615714192028,350.48101731054226,261.47523009165633,320.4236378239847,,291.5663572302581
10,EHAM,348.68059895833335,115.23034009066495,169.43991020288368,208.20133201024865,273.42573756167764,455.49987340856455,216.99221454877502,0.04994612493375396,0.12598474431777512,0.0933329589775446,0.05761047833146081,0.050502319973827675,0.06315774565474698,0.11169763032407087,-26.561577690972708,16.695383592085356,94.81165956647222,114.63398069976493,87.66791478207237,395.4436668113422,94.90170619032997,474.0177727757081,167.1685627705785,256.26918375981813,298.81963715892783,355.3936037062097,568.6436329257494,317.74289595863604,90.0,88.0,89.0,93.0,95.0,27.0,20756.0,475.92440900596,167.28598075260734,239.43430713707446,277.4526402972243,346.2381463665706,416.4158870849991,303.24683766719494
11,EIDW,337.88242505944294,174.5904192717179,269.92773437500006,217.41985099546372,261.57822053328806,283.99509640957433,243.08063730053772,0.04815715743645836,0.190801944122804,0.148831449697295,0.05957225304167459,0.04831031004352738,0.03935737511852676,0.13767345132433637,-10.66921599014995,101.47132375965943,231.80675506591808,18.879843434979964,45.757568359375,238.00968251329755,82.50082440200877,442.6918840422743,198.2954187814316,328.0216786644426,261.2166603768234,327.67355860833044,352.57593543029674,346.40862281159195,92.0,92.0,64.0,62.0,92.0,47.0,17019.0,444.9883197193965,171.2997247261199,233.9205671277261,262.66032108303625,326.2408425273233,262.9297938986094,336.4508868672917
12,EKCH,406.9945591517857,75.35064358181424,102.04252512862041,171.98954845610123,229.91687593005952,312.51500883556554,228.7039395781232,0.041790643225569434,0.08217932485328126,0.056073627008280585,0.047573645148780624,0.0423369867499214,0.04330813157939867,0.09014406630850479,-55.73121279761931,-14.793731689453153,1.6405505668827662,79.90476190476208,56.17406063988095,-16.02758789062556,27.749872222802388,507.54292386077145,100.53516797494133,130.97379752514118,206.4171948288822,297.59569735771714,379.83038204361236,317.74244534760646,42.0,36.0,41.0,42.0,42.0,42.0,13021.0,510.588893916178,100.85134152917564,132.5904609607872,192.63120764633206,295.788417618035,384.0921476420571,316.5405207353632
13,EPWA,558.7760184151791,90.876306604456,117.2738516671317,245.14409348060352,278.5898605872845,378.1600889008622,290.49294351138576,0.052205353101955725,0.09914378550891294,0.06468976892703653,0.06789325522457317,0.05149258904511984,0.052436489325550374,0.10967447264958408,-321.06626674107207,-28.0362096715857,47.341400146484474,-21.858752020473965,-73.29349070581897,-211.24417429956955,-112.82003500223854,727.015037453532,139.41870013041313,153.0196596042873,354.64617484241927,390.7010686928974,512.0678338915168,432.3039599194134,28.0,27.0,28.0,29.0,29.0,29.0,10219.0,664.24797013159,139.17223862748597,148.18239831648762,360.2373733498288,390.55758170850686,474.72140681947224,417.3432612782364
14,LBSF,652.8857031249995,127.23827570134944,178.00687115009015,295.405361328125,406.80937924592394,549.4050976562497,413.55845989794375,0.05739458209190997,0.13695422470498175,0.0982204300126072,0.08165943960914782,0.07508334282050919,0.07617143265559602,0.10770277812980776,511.44453124999944,-51.13811146129263,55.49315232497005,169.62889648437505,254.02180281929347,341.98474609374955,270.94417023861024,799.6795846742366,182.14984953323443,259.561307056722,358.4513640694498,494.96113431650133,648.6932960606428,558.1912952693508,25.0,22.0,26.0,25.0,23.0,25.0,8486.0,627.4219154597612,178.93815735442706,258.5812937021409,322.28581046296995,434.35256459027164,562.592053387353,488.0520954601221
15,LEBB,271.30555766337636,149.6653351556687,502.06918334960955,,,,184.63278367719602,0.1533434037340211,0.16402608139332975,0.2769951052087805,,,,0.4243265472374425,229.48861034496417,109.54926808675125,502.0691833496095,,,,150.25609341929083,354.1248933971767,185.55282431052228,549.0554345787626,,,,268.96854069692813,74.0,84.0,24.0,,,,4606.0,271.54345550379986,150.6619894975379,227.01481745425338,,,,223.1098148462192
16,LEBL,200.90436662946436,136.20403812708483,152.12630415935905,,,,138.24127338629432,0.07360412156328526,0.1460396721819048,0.08385864870492496,,,,0.2727955966941583,109.26474808673478,-77.9558575233717,-54.63241265744568,,,,-32.93593543881276,249.93807931397572,184.28801840055993,205.23432964019673,,,,188.51786574301215,98.0,89.0,98.0,,,,7835.0,225.94510132953076,167.9340124172925,198.8464178605305,,,,185.6302989722834
17,LECO,198.01631237211683,140.06114693973842,189.69037311833074,,,,162.88607579561713,0.07729741408619979,0.1526297513449293,0.10436153389166553,,,,0.3394542985900406,31.190646216982966,43.52438320202771,20.529606516768407,,,,52.38609615701472,261.5513515127607,179.8860780360006,255.22272486980373,,,,239.00473148464215,84.0,89.0,82.0,,,,6768.0,261.24459428555866,175.5301059805271,255.96123145853153,,,,233.21019382719382
18,LEVC,122.0793267822266,157.44363904680526,,,,,106.92726880291877,0.11636013329329709,0.17221257305526647,,,,,0.4289526327786323,67.62634094238281,135.32071424211767,,,,,66.76244897531325,185.02580593680037,210.00892779670076,,,,,187.96766564682906,50.0,35.0,,,,,2077.0,173.97286579805152,162.94368314347724,,,,,175.75406368718131
19,LEZL,284.879769897461,94.03308982849121,203.41406555175783,,,,163.0584374257207,0.11510412546059264,0.10271956619812754,0.1119918891655779,,,,0.3766773389429042,257.39984436035166,11.72329063415522,154.0530975341798,,,,94.17183654777062,366.96008449021656,123.70806609039344,272.6135924410784,,,,239.94831317806123,80.0,80.0,80.0,,,,6007.0,263.1936741426212,123.92831767417677,226.33192590150298,,,,220.71467531230596
20,LFLL,218.47470812851122,83.0060903375799,113.16528731785468,188.59679754849137,,,136.3038336228439,0.04821672836102785,0.08997885988269044,0.06225208925788275,0.052179426547868,,,0.1568903851862548,13.782467959971921,1.7994142012162138,0.01803760314265837,-2.900098778735491,,,17.42386081100512,282.1131409583244,106.3733318790854,186.40679179666213,245.92843453719217,,,200.6717333966681,89.0,88.0,89.0,87.0,,,12976.0,283.3727516486383,106.96761838062295,187.46292850274554,247.33691920286896,,,199.9215692607377
21,LFML,270.81489529079863,130.1378143310547,159.72421365255835,187.63744845920138,,,167.45624069404002,0.061510706752156155,0.14008139164138916,0.08782654570146518,0.051878617808187824,,,0.1985217500305581,225.28573947482644,-42.23117218017582,-34.384007715916745,76.97374945746543,,,26.861733030792955,355.98946486526876,288.2455511582094,260.6569353465611,246.93479502845472,,,283.29573490485683,90.0,80.0,91.0,90.0,,,11722.0,277.17951676170986,286.93407853829603,259.81061038435996,235.94574552805747,,,282.0313925628072
22,LFMN,302.40665457589284,144.44631485200264,201.12413330078124,258.3778155438312,696.9468122209821,,214.85258331640236,0.06175013877900219,0.1537050458660931,0.1106107121003718,0.07148135387977168,0.1288253751268363,,0.18275065813127753,113.14758649553569,-64.5041744608275,-34.21332112630194,49.96345500202934,696.9468122209821,,44.51462003138251,424.6964586261681,200.2130694041342,290.8391015988987,378.55634574918884,830.73902219281,,330.43621649572117,70.0,71.0,75.0,77.0,7.0,,11142.0,412.3022915709106,190.88659345470683,290.7646576846575,377.70531407792413,488.32148691583285,,327.4387950123742
23,LFPG,315.82456665039047,88.91274944104646,137.55553596402393,212.79942595653054,420.3185573268581,,190.07737502370756,0.05626866867869522,0.09717575448370869,0.07570091506477111,0.058854302611090946,0.07761935373424858,,0.1214448017551592,179.1549743652342,-3.254236321700281,43.15210111641601,127.63877516526456,414.99584301097974,,102.26280182016872,401.3229624834859,137.55845626886682,186.15922450906257,276.03207640594405,473.0257633845799,,264.5602576576902,80.0,76.0,81.0,78.0,37.0,,13962.0,361.38077730320276,138.43372188474677,182.2170888035542,246.33310574142044,230.1374863858149,,244.00556066550794
24,LFPO,324.85335678652103,109.02774908603766,184.4034816196987,252.6075836549323,485.3795914188508,,216.74623838539858,0.06075730979964126,0.1193989666298329,0.10118924977028974,0.06985252365521478,0.08962081185864904,,0.18206228848295383,210.4448124529367,-23.454938839643468,55.29135422479551,181.89878165003785,485.3795914188508,,124.94922208152938,415.75368623036763,212.1496284458972,289.29553745204913,333.01538609689965,542.8446922899477,,321.85158580551564,83.0,78.0,84.0,83.0,31.0,,14132.0,360.7380815880257,212.2138040393429,285.6681246490786,280.6439174894663,247.0962955087592,,296.6182073661846
25,LFRS,229.12628085371378,152.14429913145122,167.02215957641602,167.6760939213269,,,147.5312259207133,0.06338675958656391,0.16586655264254557,0.09192645531788546,0.046371643988146145,,,0.29960336690594885,115.76999122509069,-41.144276936848996,-8.39598846435534,133.77103464226985,,,34.87950930554649,328.7677616202249,320.9980783117242,287.4900146718277,215.61218208125712,,,226.60747250715224,69.0,66.0,64.0,57.0,,,8190.0,309.96448953785693,320.78980354601254,289.63910270732856,170.60049568137538,,,223.92071942199235
26,LGAV,793.9090401785709,158.0162278661188,214.91947576349432,308.29699041193186,384.93994140625,544.8372641509429,410.4541418007466,0.06829452878457501,0.16784122254841227,0.1181559658128459,0.08522702299498254,0.07038168115306775,0.07548531031607017,0.13503388009436793,727.183000837053,-28.11806099369844,8.633986594460373,219.8236683238637,298.51775676448165,478.21416199882026,307.64233596398606,949.440680199664,255.16386511739896,296.14130604902374,372.67271349798773,477.6126055553447,653.0250004556733,559.617564948692,56.0,53.0,55.0,55.0,41.0,53.0,15544.0,615.9689979897997,256.03682703497105,298.74372791540816,303.70971284979987,377.4598967158085,448.94967003437387,467.4848357959472
27,LHBP,504.57431341677284,105.28066803688226,163.3997705078125,236.50023475060095,319.07009765625,405.494541015625,300.4555482981346,0.052976458768900746,0.10979274953709407,0.08974768659648998,0.06535433242881886,0.05892161643786797,0.05618649447985495,0.1342525572823217,50.103410993303314,-78.77083995730382,-85.91158691406237,-1.8508958082931644,36.232890625,46.57936523437453,22.03059568474336,636.0776064987568,135.79833044399447,205.39342728354885,299.8390294398715,404.32031173612,502.3800069699021,406.83129166502323,49.0,43.0,50.0,52.0,50.0,50.0,15573.0,640.672402556895,111.92713158071885,188.4568353252439,302.7585889886998,406.7819103288215,505.2944525855355,406.2474004413506
28,LIMC,345.86776558010035,140.8338600985975,132.5572211686955,200.54177330280172,271.30884076286765,,195.09084266515572,0.055936259931954974,0.14698796399896008,0.07305120240574718,0.055480205014767935,0.05010260331729547,,0.1710851322398037,246.3237192438933,-84.76980995270146,-37.18389324809221,68.029117277299,161.3014418658088,,60.03659747880101,430.1504024032351,232.24731935325755,176.17330089164213,241.14002312334722,335.5071068284448,,261.8879214999758,87.0,83.0,86.0,87.0,85.0,,16696.0,354.6829157152006,217.5386263259655,173.2145063405336,232.68623064249823,295.93442413646443,,254.92113020965346
29,LIPE,363.99754623219934,131.2628380027977,187.60109004267943,249.67287597656255,329.4169006347656,849.4823404947912,249.63450107202215,0.05406412044297091,0.14100268592537832,0.10353994857197583,0.06906352863787732,0.06083620777798141,0.11786474356685557,0.1711863171314071,169.37786169897097,-35.33500630146753,33.62195954499434,119.23263549804705,123.83571166992188,849.4823404947912,103.16545963555865,465.7371307651525,170.8914423402357,262.6319845548712,318.1444463405465,399.17963995835356,883.8555820285534,336.5339005664064,79.0,74.0,81.0,80.0,80.0,6.0,16729.0,436.61804848102645,168.3397517422666,262.0938518678561,296.817665326964,381.87956411822273,267.38835368173613,320.34058174422023
30,LIPZ,431.6318187040441,139.53634313634925,171.6203735351562,253.12493970020708,335.4678170340402,450.3190996723787,256.4990089316514,0.061634518084405183,0.14816100054925144,0.09423734717826135,0.06999941226757381,0.06197041108377641,0.062454897667977294,0.18200092426743214,-4.382473575368107,-101.79321701462209,-82.50646667480454,31.41947330336987,27.779945010230655,398.6568012852817,10.29873690080769,545.212375750028,186.86944235726568,226.1437134610184,368.77166045111846,441.9763357895628,556.2015048573014,364.05649676833923,85.0,74.0,80.0,83.0,84.0,31.0,18341.0,548.4303677063278,157.7806861714687,211.88404303041557,369.664389694694,443.75172028811016,394.268053174907,363.920719037201
31,LIRF,419.58527523347686,245.46217433384487,193.15910847981772,251.68971535011582,293.58092447916664,868.3237017463229,273.9658080387775,0.06043974347951781,0.264816740176607,0.10626944831817843,0.06953908842279495,0.05377522326417507,0.12037049470983717,0.20458022281735858,272.4056999820397,-165.96329999651232,-14.624007452101822,153.75185366030107,105.77753906249995,868.3237017463229,97.93988425997564,540.7053324872672,652.8179919067226,257.558025012981,323.6112848577377,380.1624371861892,927.0294351491435,415.18933206848834,87.0,70.0,84.0,81.0,60.0,17.0,14709.0,469.78091175418604,635.9282380533101,258.6869315719867,286.52781553121235,368.2315836497156,334.64140177533284,403.48609475188437
32,LIRN,458.5677832031246,120.49321374227837,136.62856933593753,254.53765246332912,345.03335336538464,651.2670384457231,260.92642850781635,0.06330273011788762,0.1282648517118368,0.07534965630254047,0.07045338027059089,0.06347047231986513,0.0902882681805373,0.16866767344737438,418.99983398437445,-77.58177149573042,1.7023681640626318,170.3315479512119,219.64986478365384,651.2670384457231,160.55460845150796,572.7636922742553,145.57151275686655,182.02128086658684,300.65076244851673,416.59045383709,731.2003621148725,357.02781133744014,50.0,43.0,50.0,49.0,39.0,19.0,9718.0,394.47379870661246,124.63296251393471,183.86121826692778,250.31331166899216,358.60696055489257,341.5324183108063,318.9067905332865
33,LKPR,432.2513133081896,105.70571899414065,143.63815833782328,219.47897023168105,296.24169921875,362.05156598772294,257.0221464578195,0.04830149865539228,0.11505899506883743,0.07918034943400133,0.06069028767778094,0.05472249364162784,0.05019032539488148,0.19364653526971828,168.98612607758577,-35.01044874924884,23.348119275323416,114.35833108836219,116.88761112607759,75.7799769810262,94.78800614995659,545.296250547008,122.226728596303,185.05439032197293,299.36403747896384,373.6273464843081,469.3326566810569,353.93783133095485,29.0,26.0,29.0,29.0,29.0,28.0,8126.0,527.6280823365325,119.42440005375683,186.82495516320398,281.5574651029354,361.15418807416086,471.673735952108,341.0301080709644
