,dataset,MAE 0,MAE 15,MAE 30,MAE 60,MAE 90,MAE 120,MAE all,MAPE 0,MAPE 15,MAPE 30,MAPE 60,MAPE 90,MAPE 120,MAPE all,Mean 0,Mean 15,Mean 30,Mean 60,Mean 90,Mean 120,Mean all,RMSE 0,RMSE 15,RMSE 30,RMSE 60,RMSE 90,RMSE 120,RMSE all,Sample 0,Sample 15,Sample 30,Sample 60,Sample 90,Sample 120,Sample all,StDev 0,StDev 15,StDev 30,StDev 60,StDev 90,StDev 120,StDev all
0,EBBR,250.6381094244461,89.96597768025227,152.29485445244367,208.99973115466895,368.043212890625,,183.09833343436404,0.04679931009806668,0.09508136999733557,0.0830347886225073,0.057604254025960734,0.06783942956926291,,0.12352355489649323,118.58104850672463,5.775712714137767,44.52893989030718,107.2137843540738,337.3334540005388,,91.93421634625993,367.4498322050843,141.034180794812,250.41855292360634,335.9862963064094,526.0905411071626,,324.6583214908468,79.0,83.0,86.0,84.0,29.0,,7140.0,350.0123663691636,141.77250531087108,247.8730643794133,320.3335543779633,410.8503615925455,,311.39156390162407
1,EDDB,262.1077172550154,133.0604561253598,171.89687453644186,183.41024298416946,227.3846153846154,258.83900326588116,199.78918370673486,0.03413696382168799,0.14227617244060542,0.09377760762209292,0.050599365745164736,0.041862030387826286,0.03582348650813043,0.08119986080435503,-14.63260151427514,-68.72446240876855,7.225475456141322,76.97735595703138,28.92560596955128,70.04736328124945,34.049294103779346,354.47464322074234,329.3593790811739,269.5348442826788,291.3232665392273,340.25209585304975,364.4609669025373,327.9620718578796,81.0,76.0,79.0,76.0,78.0,61.0,9852.0,356.37920345488664,324.2498154819835,271.15964543019646,282.83619887532575,341.2146798815142,360.6345093689154,326.2063259020643
2,EDDF,207.39080946180556,70.39119398328992,132.32127278645828,153.80663531759504,211.22667941241198,,132.37045794658476,0.035867735319383594,0.07598288075900779,0.07242938960366,0.042316930805725426,0.038944239919934065,,0.13033561334804183,-31.91112196180584,-12.083995903862895,-31.49028591579848,-34.65008279551615,-34.199211872799296,,-15.353999888164019,269.90914487280673,92.37979873290679,165.2517420542125,232.89730852883605,301.47393913608283,,203.00083429881903,90.0,90.0,90.0,92.0,71.0,,8637.0,269.5175967301363,92.09913949527258,163.13243441375238,231.567249472369,301.65977623500964,,202.43106956205116
3,EDDH,186.24463907877603,70.08485185339094,150.53229248046873,144.56688910590273,160.5396395596591,219.76904296874986,137.6821282541025,0.02585862187597816,0.07491483670274458,0.08257669781675724,0.03983728310934781,0.029568639830610043,0.03041219017427185,0.10534098692289968,-1.1898091634118562,-6.612483897107773,-46.714787597656105,-47.883544921874886,-36.22378817471591,136.16064453124943,-28.130479237771347,233.0520577898355,88.73429800767556,253.02513302798872,190.85048798680276,198.43882199580915,286.861777813007,192.92128972038554,48.0,47.0,50.0,45.0,44.0,18.0,5478.0,235.51521646296678,89.44422392248471,251.20007182571047,186.8335653409934,197.36021504756695,259.8075364703792,190.87679566624743
4,EDDL,215.20523882515815,107.85081136067708,203.27233411120133,205.23139836237982,234.8976578251008,,188.26997384664332,0.035962375969262154,0.11686134527256167,0.11115866998044253,0.05660337813384354,0.04325155459105661,,0.09332558664219433,89.58875593354405,-13.709258626302125,80.9277565696024,75.651576898037,154.67898658014113,,73.6693233811184,309.2624813534078,260.30924241443273,338.26110471239076,305.13438318417894,342.14038662458995,,312.1033858117435,79.0,75.0,77.0,78.0,62.0,,7509.0,297.8933262322269,261.6985020863053,330.59133690322494,297.52089953206274,307.67068371695024,,303.30447629474963
5,EDDM,172.27850341796872,63.73883536692415,119.80105868252843,138.91520274769175,185.6276974561738,,125.46530183429567,0.028038691967500255,0.06819831801749521,0.06549141195283541,0.03828140275837863,0.034200650444134104,,0.07235290202552441,32.37051114168996,22.15607306662566,45.19573697176858,45.89865667169758,32.94106683498475,,44.9843236035134,219.04542888169087,81.10319154612426,160.6363577867572,187.40876878520345,234.28078803247283,,178.67904699164933,88.0,89.0,88.0,88.0,82.0,,8922.0,217.88187227560977,78.46021091826478,155.0306555753429,182.74256983282456,233.38080596611698,,172.93341030239145
6,EDDP,241.4642757161459,71.07262398856027,125.58808051215273,140.25220228221312,187.14728556888204,353.97048117897697,155.51450928658664,0.03407869636929783,0.07663507849813121,0.06877167013009272,0.03857761460093019,0.03446933394599735,0.04891163360467068,0.058971773671426066,-23.255877278646384,-1.3963823590960243,4.440670437283097,27.725788273223614,29.849516532790492,219.6824840198856,32.91560111115845,394.79198187264785,98.02982956568653,230.1196586616746,296.1328207756447,351.0844318207768,603.2984774633635,330.89381694226745,75.0,70.0,72.0,73.0,71.0,22.0,8309.0,396.76036889701777,98.72761768498545,231.6914022702132,296.87241832742495,352.3030191003806,575.102082066357,329.27242495452725
7,EGCC,215.32294664884853,108.40277587890623,195.22999267578126,173.50533959173387,194.8126953125,,163.63894223674197,0.036641583110537564,0.11661346880291949,0.10664687220980788,0.047756150327955854,0.035875878580392435,,0.3251786618120997,21.575747841282585,14.940725097656182,101.43740234375007,62.87399193548405,100.52503255208333,,68.02022199419592,269.66276602316077,176.6916656349876,237.85682023293387,222.2786085950218,242.59182884578934,,221.5128278957906,38.0,25.0,20.0,31.0,30.0,,2710.0,272.4064327536155,179.68931358047826,220.73160729736531,216.72516161320564,224.55821744148497,,210.8496794781239
8,EGKK,231.48196726831887,89.7887217203776,193.7554615162037,184.01836781442907,524.816943359375,,173.18134118543125,0.04592628362715128,0.09618272889501606,0.10514279800603984,0.050534296881004914,0.0964026857319568,,0.10437874256534657,42.78934873383614,4.059416029188302,11.278899016203821,25.376060956790248,524.816943359375,,38.14129018647155,308.81903807881736,107.58097333845136,252.58150146969683,225.44448722461095,587.2336741726733,,244.71554442793163,87.0,36.0,27.0,81.0,10.0,,4544.0,307.61327054630755,109.02931856998306,257.1362580785837,225.4074937855075,277.7100087126457,,241.75152826744105
9,EGLL,185.85645086115053,88.26653076171876,262.39798776726974,178.19810558500748,323.47509765625,,167.84018472375567,0.038914284608474604,0.09444381058849977,0.14299898623197937,0.0488756044884535,0.05953551034946804,,0.11680945990584672,41.881852583451696,26.209123535156213,13.120695415296208,23.337323869977837,261.21934678819446,,37.74487593574207,236.38580285064134,107.78461203200612,415.086718117704,217.5074715747466,369.0669886896507,,239.45889929326486,88.0,25.0,19.0,84.0,9.0,,3896.0,233.9792191084397,106.70541825906831,426.24795778470434,217.5506875837053,276.53527239666056,,236.49576022332266
10,EHAM,241.01015288254303,94.73874048439853,144.70065132228805,183.1645590107093,252.20548793247767,,161.09355415561956,0.04282002615708092,0.10229604842699833,0.07912543414423487,0.050518846383825554,0.046504877831899605,,0.09204878058772206,10.864420572916448,-14.41117950807139,9.621024997755152,31.894182869557742,107.92772565569196,,34.532199706000476,321.58083566294,160.310743183613,215.01694217265566,259.4068052226409,333.71758095939003,,245.33078088926018,87.0,83.0,87.0,89.0,56.0,,8086.0,323.260447341419,160.63227736868387,216.0468229029822,258.89722427420475,318.6410255234763,,242.9033059603833
