,dataset,MAE 0,MAE 15,MAE 30,MAE 60,MAE 90,MAE 120,MAE all,MAPE 0,MAPE 15,MAPE 30,MAPE 60,MAPE 90,MAPE 120,MAPE all,Mean 0,Mean 15,Mean 30,Mean 60,Mean 90,Mean 120,Mean all,RMSE 0,RMSE 15,RMSE 30,RMSE 60,RMSE 90,RMSE 120,RMSE all,Sample 0,Sample 15,Sample 30,Sample 60,Sample 90,Sample 120,Sample all,StDev 0,StDev 15,StDev 30,StDev 60,StDev 90,StDev 120,StDev all
0,EBBR,388.94038947610284,118.02948778729106,198.84908817591293,263.33588867187507,333.0371767241379,1081.184221540178,250.20497831540163,0.05797964982513121,0.12695419678856268,0.10928089760129982,0.07282494091429839,0.06147555850313539,0.14978416101395167,0.1287165077560279,149.4979032628672,32.70194049214204,76.87752095768971,145.4696668836807,135.21629175646552,1081.184221540178,135.52926372573262,516.2313322548883,170.3112339338091,290.02631165918456,373.920123118838,455.1893770943909,1141.5971738792846,388.4407321345017,85.0,86.0,89.0,90.0,87.0,7.0,18646.0,497.04291100972,168.12246783821655,281.23620435087986,346.3928909164932,437.1619802680146,395.81003556253694,364.0400094557503
1,EDDB,437.21944754464295,179.33219255719865,197.57115210556404,222.79970765725162,266.4249535537348,299.682611374628,251.05129708668542,0.04841195948514166,0.19409439048124827,0.10872660364353225,0.06163998193846208,0.049177591423639214,0.041508242452875155,0.08704196907216502,-86.6088402157742,-56.128955791522976,33.21929485041931,95.16628167568123,19.20219012004573,-28.490635463170207,38.13959262194546,536.3299882905155,368.82006767587905,298.55341706805325,321.19559860846385,355.56445573705867,396.42042780104475,369.0694200070975,84.0,77.0,82.0,78.0,82.0,84.0,23882.0,532.4697657737245,366.9143967181776,298.5254077735902,308.7591279265457,357.23048828195215,397.7700628183538,367.1011456514807
2,EDDF,363.4689270690246,95.338871882512,145.69590029509175,210.57433285920524,255.57087869847075,441.93640466638476,199.91048049751197,0.050008281568029535,0.10430250509935847,0.08028077984525014,0.05821492093032401,0.04721797071660754,0.0612624863628473,0.11805834570260322,134.74042217548023,24.457890437199474,51.70688662321684,43.47415028447704,-8.85512071974734,416.01941247888453,56.29660258216308,466.9451066326919,118.67142425478576,199.19732569734006,314.0370855331497,340.7612890769079,520.1883113693691,294.880472567121,91.0,91.0,92.0,92.0,94.0,37.0,21542.0,449.55941842921465,116.7670704261712,193.42345121136665,312.71752200795066,342.4727481382835,316.5955150706875,289.46342637227474
3,EDDH,357.03592773437515,96.99689468072386,201.2862182617187,159.74763333067602,181.09395345052084,214.03380102040816,178.18238833331435,0.04184776718106309,0.10490268219679501,0.11085019480284966,0.044182184799899375,0.03342096131191019,0.029662584990271232,0.1036308729041398,-123.47495117187533,-2.282397211814462,-61.713962402343626,-9.285958426339128,-10.524129231770834,-21.90638950892922,-16.018946846535567,419.79428947751205,123.45215236651525,344.80273459582105,261.80032405400016,237.23261568922968,285.086841052271,266.18772429248713,50.0,49.0,50.0,49.0,48.0,49.0,13530.0,405.29805347930613,124.71016437772717,342.6789903657952,264.34690953576614,239.507061115294,287.1895510428192,265.71510358603354
4,EDDL,400.97628784179676,151.22667518028842,236.5984950921475,245.44495567908658,281.34104034047067,377.2050462805704,258.0619138212518,0.0548317878335101,0.16581986132980564,0.13040510654652865,0.06790026037456638,0.05193997101915208,0.05228717201910037,0.10840402145339453,-16.99861450195366,15.496270595452678,112.54798615284467,134.96277168469564,103.444580078125,322.87333347486367,125.82603206518523,573.2472499666893,344.9506302694174,382.87638092115714,357.257990552294,391.46876735941885,505.50247451669577,418.83526083097064,80.0,78.0,78.0,78.0,81.0,46.0,18705.0,576.6103101941231,346.8328432266079,368.32945731426344,332.9254259476473,379.9063731417818,393.25241722993127,399.4988333043719
5,EDDM,376.8081488715277,88.39780836838942,144.31684378291789,197.5663123497597,240.3834894353693,307.9110146799393,200.39478936078092,0.050015144612854695,0.09604415520222685,0.0796017018628841,0.05467041049871011,0.044391930974352324,0.042686283509438844,0.08209828329447443,25.195855034721728,50.68210341904185,88.26254581065672,114.03905445140812,53.96650834517045,166.2211677797373,88.13577127994198,476.03842840642807,111.43149893708011,208.48378288699678,269.3597079762011,313.3406506133175,391.11920710771017,288.1047070531663,90.0,91.0,89.0,91.0,88.0,62.0,21955.0,478.03433987394357,99.78842087710315,189.94896908346252,245.38013405547892,310.42718395331434,356.9307911087193,274.29880613914486
6,EDDP,423.6444042968751,110.46466229413008,144.1596077696918,193.97202115445523,285.9572319135274,396.1288787411973,243.75530653844888,0.05099732942853452,0.12112031311730088,0.07954554857316505,0.05362768746320386,0.05281602840633426,0.05490203907774711,0.08630651062195889,-97.1421386718753,19.018689954602987,36.78250749143848,52.2494968723608,-13.855321596746576,-99.15702024647949,25.635073701605904,554.8808029042647,146.27372191242867,251.4966113232898,374.50050463088076,456.70405785769714,560.0586857489625,434.6196647765963,75.0,74.0,73.0,74.0,73.0,71.0,20204.0,549.9902735558292,146.0220261783979,250.51403441033423,373.36906959225047,459.6530052429804,555.1343054243373,433.8737296624425
7,EGCC,279.31350226151295,165.5116111353824,210.91444778442386,249.94577205882354,227.5836759868421,227.28209092881923,220.19622117961774,0.0389365205041286,0.18090615053112563,0.11639741882838435,0.06901761870827487,0.042029635070041836,0.03150032951239379,0.19452208988315334,29.598581414473085,9.531858745374123,110.50416183471691,98.18475700827221,65.38648745888158,161.44767252604106,62.01396362363196,372.10913777703735,195.57171429845738,258.62780688317736,299.9420413677993,297.352690395217,341.3238078731571,293.69048720085556,38.0,38.0,32.0,34.0,38.0,18.0,8002.0,375.90924389984247,197.9614135138486,237.57304660937587,287.6787653351896,293.9683164687487,309.4452945499898,287.08652066374765
8,EGKK,392.778536709872,135.2922248840332,207.3347440279447,212.43644875919117,261.4670272998595,,216.60082873831854,0.0595840438848803,0.1481142463292984,0.11408759230431853,0.05859495683189011,0.048284648718151975,,0.12715528021316422,290.4568481445306,-12.371112129905045,94.81491605318521,70.14151539522072,97.25309427668539,,77.57700392181151,535.9598385738668,160.06615692327023,284.544207141603,279.1755119140107,344.70239492041253,,306.29800196667014,88.0,88.0,65.0,85.0,89.0,,15750.0,453.01193277838894,160.50192305802406,270.3704038634605,271.8242257020044,332.57228072623485,,296.3205180979837
9,EGLL,386.3040510884829,139.2201683738015,272.50378298291974,205.30779549245085,240.21374371408046,,208.90732287134685,0.06227331443338138,0.15179726150955172,0.14995737020481456,0.05650138771921077,0.04436811115878769,,0.12133448094418343,238.08772603581417,17.09429446133695,113.57623051662084,22.25467158971223,56.690710308908045,,60.33333075126907,476.220932077277,168.80428220192687,384.86494038067303,267.9108441839648,305.6346011630482,,293.95425222268034,89.0,88.0,51.0,89.0,87.0,,14647.0,414.7693001497181,168.8989029458381,371.38375225603437,268.49759928074536,302.0720022932067,,287.70582702439305
10,EHAM,347.56120876736117,109.49075490778142,158.22701512025986,205.3402349000336,255.20559210526315,399.52454065393493,204.11144624004206,0.04995624011609511,0.11977198403680461,0.08716094967752835,0.056804664063706,0.04712739830202062,0.055393431747886995,0.0957712968188948,-47.33049045138937,21.353939056396438,70.7713554468049,78.74580760668698,23.83372738486842,314.42847583912,55.31641011645785,470.09176856992195,162.34488909866218,256.5215300978818,299.0891127505002,336.52108379431183,519.0574885169777,304.2676287356573,90.0,88.0,89.0,93.0,95.0,27.0,20756.0,470.32320466797285,161.85664022485759,247.96281906096743,290.10054008637593,337.45681144184937,420.85060701787177,299.2042743545908
11,EIDW,310.1643862516983,117.18378083602242,206.0923748016358,196.45319587953628,215.55549422554347,253.15192819148922,202.96322531465202,0.04398295675285994,0.1279366310537791,0.11371502252477347,0.05387935870051406,0.0398134203431833,0.03508079297429532,0.10328919762863802,9.249591329822875,31.999790357506747,140.93299674987804,-4.021980531753908,57.53743843410326,180.70142121010605,56.98217819522081,393.14272629942406,145.29072788134522,265.88077666252263,244.0351068471084,267.5612958037153,312.35225738372725,306.7858880529786,92.0,92.0,64.0,62.0,92.0,47.0,17019.0,395.1875287747635,142.49957124800503,227.23844482641235,245.99384694696815,262.73333109756487,257.53065102809177,301.4563851587051
12,EKCH,377.3882533482143,85.35511271158855,103.47223942454266,122.8448486328125,182.15436662946428,267.7333170572918,189.16583278964498,0.03898738492788502,0.09313766237426474,0.05685363396677974,0.03398374302810009,0.03359106679738807,0.03710304677301673,0.06746564376351605,-75.17633928571455,14.790798611111082,-5.896240234374856,38.50006394159244,-5.605631510416667,-35.55609421503033,12.784423306647147,452.53433118981474,111.69245421766094,131.69346677954525,152.8678757763824,247.51835253756227,336.68073269003816,273.4974505878283,42.0,36.0,41.0,42.0,42.0,42.0,13021.0,451.65563275344505,112.27920781973509,133.19577182516556,149.73358176838903,250.45443054710654,338.85627419495177,273.2089795724776
13,EPWA,576.0721261160714,104.77932174117475,137.24795532226565,207.61041891163794,214.25850282866378,310.74595905172424,269.2518060091413,0.05360784986650762,0.11426691560541015,0.0757012499677799,0.05748231823618183,0.039599121223518025,0.043084790033437195,0.09148503622121319,-257.0161132812506,36.23195845992472,102.88994925362734,32.98563779633638,0.24607691271551724,-91.95231681034542,-38.03521157981545,692.1524709224379,129.78189426115344,200.77155856025598,292.70579141365624,284.5374083707237,370.21156553778235,367.70030488313995,28.0,27.0,28.0,29.0,29.0,29.0,10219.0,654.4575728120875,126.99573011184133,175.56686580378218,295.9892742242076,289.57375140305976,364.95791665631134,365.74571385876646
14,LBSF,752.8112499999997,114.80077847567472,206.92208392803488,258.5651171875,281.7780867866848,458.8811718749998,358.3797007030736,0.06697880981982625,0.1243124675313346,0.11413045989339314,0.07148768031683624,0.052019826505962714,0.06362028196400639,0.08145173252448543,268.47265624999943,3.093125776811064,85.1426274226263,130.31423828125006,72.31494140625,167.93902343749957,166.2124385511202,897.1183595178726,166.41977803898914,320.17566971853097,354.95374049970985,369.46659508726617,557.2692813722938,494.5298128874247,25.0,22.0,26.0,25.0,23.0,25.0,8486.0,873.6559819648863,170.30664949415933,314.75978169755575,336.9754522400843,370.46350728759285,542.3190331499723,465.78828642568146
15,LEBB,251.88139466981636,128.31260681152344,430.76323191324883,,,,153.9383967403117,0.1472399577499897,0.14055357120202008,0.23755829288729857,,,,0.3110593059332653,162.24358718459678,33.07444472539987,430.1006952921551,,,,86.67298115878535,330.59865666681895,155.38642942715464,492.360840832351,,,,236.40575292764592,74.0,84.0,24.0,,,,4606.0,290.0156886485194,152.73750924904726,244.80534839499367,,,,219.96813256319206
16,LEBL,203.06524284518503,91.62603245424421,127.75567377830038,,,,114.47373653922445,0.07370632340866118,0.099131268414594,0.0704116646486434,,,,0.18324645732223818,159.18942073899882,-4.314609827620302,28.607612454161465,,,,36.79152863685048,255.034868939026,136.94450743141826,180.77811752834546,,,,167.05991719777114,98.0,89.0,98.0,,,,7835.0,200.2768250319646,137.65203251696568,179.41797551863544,,,,162.9686752636254
17,LECO,222.30319213867188,125.59625449877107,169.5084704887576,,,,157.67955091062836,0.08338627763127283,0.13692855813196214,0.09325117005680231,,,,0.283024724289969,141.08636329287583,-4.14756517731745,72.0526212366617,,,,59.408986259392776,310.28271839210873,167.97822190445356,246.1795191422673,,,,248.0837534615886,84.0,89.0,82.0,,,,6768.0,278.01101407819647,168.8784455814998,236.84780716008015,,,,240.88315522652192
18,LEVC,118.88845642089844,149.72047642299103,,,,,98.85706155812103,0.10649164286738033,0.16383721730810347,,,,,0.3710523284167757,96.42830505371093,145.22736118861602,,,,,72.6034318213286,181.72091802020697,204.5189264555438,,,,,186.33045575801688,50.0,35.0,,,,,2077.0,155.58997013531894,146.1058409092511,,,,,171.6448813570877
19,LEZL,250.03875579833988,107.94957733154297,217.4374671936035,,,,158.87993914715477,0.09996489749634745,0.1179080103365135,0.11973845253789062,,,,0.304612968584428,203.7999740600587,-20.541464233398493,109.71388626098646,,,,72.82953635932249,339.85363092320597,132.14572099273755,282.6449914377277,,,,235.24154040132765,80.0,80.0,80.0,,,,6007.0,273.68291923005467,131.3630193760148,262.1257874608952,,,,223.702417749176
20,LFLL,186.19440177317415,70.01165077903053,123.01433983277738,155.70223262392244,,,121.53915781390758,0.040216478756392046,0.07612207976212161,0.06768898018968597,0.043070862089575626,,,0.11114173491177366,76.74169373244384,19.129742709073103,14.759086694610355,36.759249281609335,,,40.916391946291604,256.89219545391,90.43308504664401,202.97402666339752,222.43070922182966,,,194.59041885058542,89.0,88.0,89.0,87.0,,,12976.0,246.55083873242566,88.89314466893892,203.58367758432166,220.64396992046284,,,190.2473896988145
