,dataset,MAE 0,MAE 15,MAE 30,MAE 60,MAE 90,MAE 120,MAE all,MAPE 0,MAPE 15,MAPE 30,MAPE 60,MAPE 90,MAPE 120,MAPE all,Mean 0,Mean 15,Mean 30,Mean 60,Mean 90,Mean 120,Mean all,RMSE 0,RMSE 15,RMSE 30,RMSE 60,RMSE 90,RMSE 120,RMSE all,Sample 0,Sample 15,Sample 30,Sample 60,Sample 90,Sample 120,Sample all,StDev 0,StDev 15,StDev 30,StDev 60,StDev 90,StDev 120,StDev all
0,EBBR,307.30085961612656,122.61520669626636,194.04528947310015,265.133680863814,311.41842260116186,,234.71966743697448,0.050241685907631006,0.13224758896668415,0.10673495123224934,0.07332866691278396,0.0574963800540902,,0.13278452083227202,0.8061885127310549,41.32244518191312,94.00258150967696,153.09095070578852,112.68711500901442,,126.57778503808859,407.87477991587224,168.7520438969856,293.5606106655576,379.39552036367496,441.5071889534383,,364.6406381424745,81.0,86.0,88.0,88.0,78.0,,16977.0,410.41527868537855,164.57413400329466,279.6968498242285,349.12637616050193,429.6473415936527,,341.97623882217493
1,EDDB,438.26095985504537,169.84868742290297,197.70733344845658,266.3593353667817,344.8763010532041,384.91503324962804,284.52103606477453,0.05167916871891207,0.18414982209419536,0.10883228183190662,0.07370099714817288,0.06367573302264491,0.05332142057704159,0.0967672013994339,-164.23736939947335,-59.49092985454363,53.801062607183795,147.56113503196036,13.544430503362342,-123.22428966703926,23.590575421297736,598.4661214592425,352.5957820199152,301.9397886280034,377.8944957391209,488.8158493800415,533.3327711108354,432.2303531070186,83.0,76.0,82.0,77.0,79.0,84.0,22234.0,578.9876168402661,349.85007688073244,298.93623525789036,350.1749003416629,491.75042082276013,522.0188799019892,431.5958072437027
2,EDDF,340.4729513650412,100.8969538762019,151.2269635881697,224.64819335937509,279.00289253566575,666.367309570312,211.07674006222604,0.05032307945252753,0.11050464321720598,0.08334599805809355,0.06211261843035003,0.05153598259460004,0.092381663408012,0.12496113789495897,33.27094243646935,38.46397316062839,65.1823180481629,90.6802553923235,29.16145656419837,596.8376057942702,74.51713400264171,412.82148774142865,124.74872540736472,202.08130736687946,342.58001564177243,361.5656081261081,705.505736178224,308.66159823456945,91.0,91.0,91.0,92.0,92.0,12.0,19951.0,413.7582612383662,119.32829694264612,192.33994611072103,332.17085787448025,362.3624476520108,392.92360963350956,299.53910623940953
3,EDDH,344.0589823820156,88.1050542195638,146.13823242187502,128.8391876220703,173.90507175611413,268.62247721354197,157.92803681007877,0.04330012859561473,0.09429250260969031,0.08062387925534331,0.03564191151855702,0.03212414593533607,0.037230887614712056,0.10488051715713123,-294.3577706473218,37.321126302083286,21.331274414062626,31.687596638997547,-39.565610139266305,-183.21122233072984,-26.7310112155141,437.33805175710376,119.60363456878531,243.3257956729766,179.25752740202984,211.96347143948998,333.62233951068106,220.89639120072502,49.0,48.0,50.0,48.0,46.0,48.0,12553.0,326.7990477194935,114.83418395467137,244.84984897404235,178.30165407626555,210.53906911510143,281.7649784486415,219.28178037273747
4,EDDL,350.3241088867188,124.98472153513055,235.85476684570318,247.28782927684298,282.6091820987654,507.2924455915174,236.7523427045321,0.05212238010552263,0.13674040861606898,0.12999008494590708,0.06841577176564177,0.05216509403714579,0.07031157049823941,0.11176967828493356,-54.602270507813,29.30862547221932,126.34875844980228,140.79618013822127,50.459816261574076,492.34769112723154,110.41550776612758,466.3690602262476,275.53247301305794,374.5440032852681,351.5338447823089,384.469677557525,630.391282155974,364.42602614893957,80.0,76.0,77.0,78.0,81.0,14.0,17345.0,466.0838110014935,275.78966042932484,354.90136743049044,324.19116966233645,383.5187402889667,408.54496741853154,347.30634667803366
5,EDDM,319.1050889756945,93.07430653089885,159.14699734462786,221.44162326388897,269.244423606179,392.63530970982123,208.50759630209944,0.04528156929348839,0.10138727642807878,0.08778495909569813,0.061265917088052506,0.04972655552335956,0.054415671524127115,0.09273113526517453,14.888129340277292,46.848605380969055,106.19012245435405,142.16654730902792,72.14975253018466,170.1118443080351,91.1681102752934,415.6096870620349,114.99138106977507,209.69146408450868,289.8883550849132,344.8152312792709,475.88524191442474,289.12509278342037,90.0,89.0,89.0,90.0,88.0,35.0,20399.0,417.6698067194351,105.61035291575398,181.8397443889322,254.049314234439,339.1146723966349,450.93058473340733,274.3818244469647
6,EDDP,435.91377604166684,100.82797901050465,135.530272601402,180.84734942461995,281.3847931338028,404.562810724432,234.17873357411605,0.05582452074733922,0.11047744221765855,0.07476653513475644,0.05000156994566011,0.051977659567652906,0.05607467726769573,0.08809946478040416,-191.23611979166705,29.873278643633817,53.713197472977434,95.94340226456941,-3.4232641945422535,-128.73635771780366,34.980577728467374,564.4833410102602,135.1715901123538,235.47396609032108,344.13416241338143,458.92514566747036,570.6469878231802,423.99664102176513,75.0,74.0,73.0,74.0,71.0,66.0,18948.0,534.679294598893,132.72909910776852,230.85259612822045,332.7452378617796,462.17869938801175,560.1961978322717,422.5623438135036
7,EGCC,291.0613820929277,141.37965516786318,270.6228417968751,260.40506628787887,234.1521638569079,,230.43175529754004,0.0429809502255173,0.15458110370214245,0.1494730299525836,0.07187037862716981,0.04323936687688219,,0.22409417773881715,-64.77391293174395,28.69038679793069,189.2429394531251,147.36597419507592,73.38985402960526,,96.25388499926608,394.537219231315,165.54366263861877,306.76922271859894,313.7790111176791,304.3256837914842,,300.0483331559911,38.0,37.0,25.0,33.0,38.0,,7051.0,394.4078828281023,165.2874549897992,246.42118811623925,281.31597761838015,299.30847972678856,,284.2105694128468
8,EGKK,263.89149613813913,128.42135765438988,243.8447875976563,204.36294298286901,264.1102701822917,,201.51384634901805,0.044473357028545074,0.14059754671500513,0.13403601176038235,0.05632493355243257,0.048767045568304204,,0.1264725826234692,-9.128190474077025,19.26628912062868,145.0198364257814,69.34508247835102,57.22569235777244,,65.08211619976578,347.1737264216028,151.1892539743694,323.60345198016597,273.147938587965,346.54050236523864,,281.48396965538,88.0,84.0,37.0,83.0,78.0,,13258.0,349.0425652687931,150.8573111889847,293.2799347007721,265.80498166858933,343.9950942203537,,273.8671220266298
9,EGLL,260.2610261038448,143.62258947900978,346.0482881986179,213.2044592569041,223.07564233054578,,205.25634496295842,0.0478007702040176,0.15672443983053477,0.1903188567809049,0.05866341028503089,0.04120004748937085,,0.1422286268441088,-31.89234907171725,43.92823148060989,138.3799626277045,36.84539085210771,51.977614711707744,,50.51231473418369,335.7488859104349,168.3705988103287,476.90520618888706,268.6375308482052,290.85696204676594,,284.2368593256593,89.0,83.0,26.0,86.0,71.0,,12058.0,336.1244211092407,163.52721966630617,465.42576647468593,267.659451172636,288.2118044508441,,279.7241272417016
