,dataset,MAE 0,MAE 15,MAE 30,MAE 60,MAE 90,MAE 120,MAE all,MAPE 0,MAPE 15,MAPE 30,MAPE 60,MAPE 90,MAPE 120,MAPE all,Mean 0,Mean 15,Mean 30,Mean 60,Mean 90,Mean 120,Mean all,RMSE 0,RMSE 15,RMSE 30,RMSE 60,RMSE 90,RMSE 120,RMSE all,Sample 0,Sample 15,Sample 30,Sample 60,Sample 90,Sample 120,Sample all,StDev 0,StDev 15,StDev 30,StDev 60,StDev 90,StDev 120,StDev all
0,EBBR,331.6013507153614,123.72298236225926,188.44887148100753,225.38929766073994,262.3245261863426,,213.67745185456442,0.05377274324598397,0.13126341846782247,0.10281784918366815,0.062016421242298864,0.048323127561218045,,0.14084554747139713,-48.84262048192799,-32.15522127373277,-27.546447753906122,7.659957008800418,27.916817370756174,,16.24068716516383,451.3724908679351,176.40473486852477,272.4229380479127,336.67047265877363,390.8434909965585,,342.7491112290049,83.0,86.0,87.0,87.0,81.0,,8710.0,451.4499200645133,174.4666430846065,272.597842131733,338.53454536796875,392.2741730400984,,342.3837790938145
1,EDDB,486.60779249811765,190.9509586535002,211.77729760146718,239.38782990284454,309.6660218057753,368.04305594308033,276.2344721768696,0.056847199309081005,0.20456142146502834,0.11561068292403862,0.06606502483248486,0.05701590566755689,0.0508761746984793,0.10904813137822628,-202.73620458396132,-132.2301471107885,-57.13318317692443,8.561870868389557,-52.62584676621835,-112.49026343936063,-44.03760773322413,616.8871913049977,376.0363323227771,302.56375982799113,339.89889985113786,398.87199056608813,470.6410522163583,388.47499060300333,83.0,76.0,82.0,78.0,79.0,84.0,11397.0,586.1633270082156,354.3596453333576,298.9490131098668,341.99036604501117,397.9115580079591,459.74470411284204,385.987797562938
2,EDDF,341.1744827438187,95.42342368325035,158.91826994522754,225.86918308423904,321.7786615843414,614.1945612980767,213.53772849427833,0.050324716373630146,0.10295859832038996,0.08695262247295216,0.062126140298166474,0.05931029235348324,0.08504987865039682,0.15893318374672416,-0.9217462225280322,-24.972450340187205,-29.768704621688048,-49.9162863026493,-112.15188697076613,540.900015024038,-30.19103676465291,432.73661134668424,121.37209920370694,212.79576242184686,333.7697124408743,429.86664850822547,687.4969665510836,314.00467246282824,91.0,91.0,92.0,92.0,93.0,13.0,10198.0,435.1330753244452,119.43330310772917,211.85779978860495,331.8243585443177,417.2278851124686,441.6852467096133,312.56521822619175
3,EDDH,376.97917330994915,98.55947551321476,192.22412841796867,183.12768046061194,218.3363727072011,258.5607096354169,191.8929179095464,0.04657876540214494,0.10533158538364853,0.10528573529008657,0.0503907217346655,0.04021965446019742,0.035759717558871314,0.13999226586495556,-192.43953284438817,-43.303582374085835,-104.6738500976561,-96.1422678629556,-88.12439495584239,-59.28489176432347,-74.88856012781466,467.95973611466223,128.2546697023182,285.17485233361776,234.76457222745057,257.2553638671291,312.0700125165165,250.92826187280954,49.0,47.0,50.0,48.0,46.0,48.0,6419.0,430.9803190676112,122.02822397503061,267.96299148453494,216.44179099351928,244.36143583704867,309.62928167738323,239.51123776846214
4,EDDL,334.86945190429697,126.35274585924651,215.3540950626522,220.80844037960736,257.54106083622685,514.8576497395829,225.11524504610207,0.04914443174773697,0.13692152463814541,0.11778311585429191,0.06090849777940997,0.04743272644603088,0.07120303007690693,0.10838837211881026,-28.979522705078477,-34.82327471281357,22.1092822582692,49.84651379707547,47.50299901138117,461.74638671874953,53.88727009727505,459.70658900064495,282.80260056837733,352.34945994711995,312.57841476304543,362.17270402082875,644.7068558186762,357.66392690785597,80.0,76.0,77.0,78.0,81.0,15.0,8842.0,461.6868742531175,282.51521333466854,353.9610772601935,310.57562924786373,361.28096999491555,465.72202503031593,353.6011702850219
5,EDDM,294.7593370225693,79.86674465603299,132.52133898788622,171.82543674045138,218.94895796342328,271.9455566406247,165.2442523913295,0.041701629601197616,0.08532670655923295,0.0724192693564513,0.047354277712733976,0.04034332413353012,0.037616878573769406,0.08087725098612766,40.57053493923558,-4.917006429036501,9.574718003862477,36.50011121961819,-8.437838467684658,169.77185701069033,20.01897720431873,371.11440416999636,101.96478145419978,175.64782852836558,225.15119340006515,282.5896283772711,331.04729273000567,230.63621846235526,90.0,90.0,89.0,90.0,88.0,38.0,10434.0,370.9567639022162,102.41672821525002,176.38037136099754,223.41758552239924,284.08234364492426,288.0152684793833,229.7767741643779
6,EDDP,333.35845377604176,113.77537324693468,146.13536510728804,190.38048821526598,274.0462388589349,308.2959494519589,220.5991192893039,0.04208431372335251,0.12267628357858588,0.08003496462584488,0.05238004060638123,0.05046986711194696,0.04262649806795866,0.08155613177705094,10.332301432291194,-33.9384786817763,-18.464749270922404,4.7286129513303905,-46.88932177046655,-33.67220295009387,1.4906307435776853,480.6284438551513,150.1099108010032,254.797731529812,358.88307757333376,444.74753220435747,478.71821184320595,405.2790705987292,75.0,72.0,73.0,74.0,71.0,67.0,9573.0,483.753215566242,147.24913634470298,255.88648750141112,361.3014539460323,445.4167371656376,481.13659166890045,405.29749862795586
7,EGCC,339.39590614720396,182.41390027497945,236.15272949218755,271.09464780745975,279.60946494654604,,255.45092415023808,0.04976764178378513,0.19675547811559185,0.12919491026359975,0.07464621930227908,0.05154303070602568,,0.31614818365313696,56.178081311677055,-22.96209556178048,162.89769042968757,183.50285093245986,194.99045281661185,,144.16303716339084,443.06990332448294,248.87112856717886,268.05167773912495,319.9891495843046,343.9159355840708,,326.94601543448147,38.0,38.0,25.0,31.0,38.0,,3656.0,445.393496586582,251.13601733275777,217.26530534750157,266.4778005820699,287.0992847498549,,293.48641438345237
8,EGKK,305.04267467151976,131.96726457462754,252.32397758669978,218.44860839843759,308.4145743128765,,225.26522956031255,0.05012745208715039,0.14174841614322523,0.13737252826420115,0.05994826784234699,0.05674863775998554,,0.12345952302686646,137.4131913618604,8.395789567814266,158.9533363900535,140.10379847084616,185.89851397778614,,126.19179834168767,408.19877820452416,160.92640835587417,328.08399799503474,284.75921611498154,395.7637630203655,,315.8548198311585,88.0,86.0,41.0,82.0,83.0,,7007.0,386.5773695193651,161.64982078742239,290.5723150192536,249.43433334988094,351.510121728014,,289.5718634686802
9,EGLL,296.6837391371136,139.44541713169642,332.09156177662044,216.80926585477945,261.1488346354167,,214.0588901532753,0.05321516110599387,0.15003307621116835,0.18112118546058406,0.05947123982504843,0.0480839911252402,,0.15212210767077416,86.98604558023142,24.08731805710561,140.00851779513903,87.7838465073531,148.67405598958334,,95.90418432671026,373.06800840124674,162.74657542140213,463.7118076780572,274.34502496483753,328.73051394033325,,295.5515560901933,89.0,84.0,27.0,85.0,75.0,,6430.0,364.8407473605312,161.92088315339794,450.4915648135086,261.4640798944228,295.1633352297238,,279.5805180550744
